t,Q05_S_p,Q25_S_p,Mean_S_p,Q75_S_p,Q95_S_p,Q05_I_p,Q25_I_p,Mean_I_p,Q75_I_p,Q95_I_p,Q05_I_v,Q25_I_v,Mean_I_v,Q75_I_v,Q95_I_v
0.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,4.0,4.0,4.0
1.0,84.04784687277703,87.03671894397243,88.58560238014202,90.40024597294564,92.34113792874686,2.9371265939486597,3.7427159574116393,4.486940045574695,5.116306281539385,6.396344749845998,1.7096164165314707,2.274598435697071,2.903544099078755,3.3898762103010696,4.522645215796061
2.0,75.58238711278385,81.24811081244867,84.05219224745738,87.42393076545687,90.65271774303596,5.799590599840662,7.929949241029012,10.188917383154704,12.047959532133284,15.982796791812973,0.978365179569489,1.4713846622296696,2.1126410389316828,2.557883421298266,3.8011977486769744
3.0,69.42813192641427,77.68289580841314,81.4106613814686,86.13332338369871,90.35617191061246,7.243241623891563,10.609057053321548,14.41106421375296,17.347092942398067,24.451349846433153,0.5997640968534621,0.9778897192694207,1.559763059866949,1.9444526154920139,3.09907393469626
4.0,64.59497471284017,75.1163044792644,79.72994743821343,85.63946000993987,90.7782731724486,7.637524191939773,12.004531081381877,17.269224040056532,21.308992777536226,30.715159768262932,0.37385281244694873,0.6650328404263395,1.1625862709258252,1.458902646570413,2.5455746440724716
5.0,61.013081689369784,73.3535497056696,78.62008733074374,85.53501754316457,91.23149483327387,7.638044398815186,12.741381816034236,19.196609249439202,24.105416477246337,35.62664135537152,0.24303557135480494,0.4580731927373188,0.8805405768976257,1.1068929545920294,2.066297667763752
6.0,57.55231381451985,72.10101320183203,77.87059004078688,85.63595467486252,91.6430069812275,7.523570274734106,13.003655180892014,20.503971083039538,25.99721234924116,40.014335225611084,0.1597775788400642,0.3224404017626315,0.6707659518416456,0.8385438434403846,1.6866150416903762
7.0,54.99667069431607,71.08826554269575,77.47548740674482,86.14292852070584,92.24273845800313,7.127667564282685,12.895020433575596,21.30319682360056,27.473385855500982,43.24947388061634,0.10968991085849157,0.23010215253942096,0.5161914910699608,0.6474165945818907,1.3665874357618697
8.0,52.94367591660091,70.36794020979872,77.21931085634475,86.58684913574838,92.76473555598342,6.735704697331382,12.728609442819357,21.846642154521046,28.453202477159365,45.73767840979279,0.0757954914379374,0.16778048781047547,0.4022893038626832,0.494991326970834,1.1267783594730703
9.0,51.17709705967085,70.05292600879794,77.19919240161221,87.09533133912424,93.45616542022655,6.161692926655146,12.359537702438752,22.081124566746436,29.05395507432664,47.75971530390877,0.05638976757185261,0.12521252224072055,0.3169507796219671,0.39085259268799455,0.9139763158109478
10.0,49.10141617586837,69.75225078397025,77.31550295823642,87.72836138124003,93.97032463812317,5.703516565810419,11.783683096052533,22.118384948502495,29.5779930302667,50.003188952049285,0.043191082039864305,0.09587767116533442,0.2534456789440492,0.3107911809873056,0.7360000947358297
11.0,48.20690012571542,70.08146261088434,77.54706928186819,88.35036423168798,94.58241448285334,5.20143530800336,11.256843046078119,21.998227025035572,29.311992244133943,50.94972317238386,0.03343699730754455,0.07615870073091541,0.2061773375045248,0.25224799513949686,0.6154404857205416
12.0,47.50585302879619,70.12733040414383,77.8008744600098,89.05420505668842,95.16480769606552,4.691178316034082,10.701620193819496,21.828200555852685,29.359023605232778,51.98101611484007,0.026091632126583532,0.061206065907909286,0.17076251142972532,0.20561739961857722,0.5027883125975783
13.0,46.41777908564718,69.99410756487708,78.0326647143348,89.64920561214909,95.5588155032961,4.272818156087086,10.105622756325548,21.65991069512874,29.59696362673235,53.12871230522483,0.02230327813545717,0.051875780531258256,0.14432457424264947,0.17365986087034035,0.4223719638996263
14.0,45.586574879923035,70.27630279512674,78.31375923267922,90.42921967260168,95.97148474173743,3.9092525446199944,9.39766857242186,21.425172643068564,29.4134287300884,54.13647880316316,0.018383308276224045,0.0442873527091392,0.12376024753812338,0.1500918239705947,0.35551628262323265
15.0,45.787289902246364,70.34365810509179,78.52802362917043,90.93408788056364,96.42384281908339,3.46705155795213,8.888017134111726,21.245602353927094,29.375402219459634,53.747071873374715,0.01582267828044417,0.03870955250054294,0.10932110144367234,0.13323554924610692,0.3133691514699447
16.0,44.69805360273673,70.34944805586628,78.79767513072072,91.39345285981844,96.77479412881759,3.153482790757543,8.451733119865168,21.003642622432128,29.42502174426342,54.884590857889805,0.01354863590999136,0.034283734905402395,0.09765719608738627,0.117648248371761,0.28566831050376196
17.0,44.04918598256939,71.13959101828537,79.13791462277896,91.97689361010322,97.01939584745739,2.924922632906189,7.894633876533999,20.683953555215105,28.612805142377397,55.70436478211952,0.011734479117990597,0.03069665722970073,0.08854361693193458,0.10773988026549478,0.2602047099508087
18.0,43.23847609280875,71.28191435896174,79.4356197915618,92.41015198837128,97.3431819498324,2.592199230436604,7.492059612026726,20.402487698131807,28.467354065491488,56.55235115290619,0.010559409702262879,0.027681815788910522,0.08119257194758503,0.0994496054396651,0.23549487840024982
19.0,42.89706408909597,71.79491620975672,79.73778622058482,92.77146917273268,97.595217647034,2.365682555301646,7.133902520047765,20.11336129270705,27.94113214147258,56.821121616436876,0.009051347184728078,0.02518545215902053,0.07536989507799033,0.09229698843385505,0.22483859506126305
20.0,42.13124522345668,72.34278569379127,80.09490696889205,93.20715964508187,97.87263132007267,2.089598897749857,6.706329895744595,19.766028296256337,27.473961676959583,57.66279053749656,0.008094785320021803,0.02330088651933891,0.0719304654549615,0.09057445499189135,0.2185095635512705
21.0,41.974582715409994,72.66619810469822,80.42664509456355,93.63239503836398,98.02144560812633,1.9550583070901262,6.294730227950527,19.44170968888131,27.11140920591951,57.72302152170836,0.007241696346000218,0.021348346074383805,0.06860144888433532,0.0858782231759184,0.21399009407144212
22.0,41.33269619399045,73.29370583444417,80.76437595832795,94.02448830773254,98.19707886637208,1.7735607569060592,5.8982523019609845,19.109455093245543,26.541172148685693,58.46641688762483,0.006647338965056917,0.019877462457448435,0.06674253448589888,0.08363247351142833,0.21056020487605567
23.0,41.497941008501634,73.3812899496575,81.0866712500391,94.47528089332951,98.33793662438794,1.6306079960440425,5.4537889228427,18.79158451011859,26.38817432314645,58.33168454046631,0.0060552602057340164,0.018581103566256658,0.06407784132856499,0.08045010057237599,0.20141904631287447
24.0,41.290422818920575,74.0829505219968,81.415069108552,94.71822686451134,98.50431979232002,1.4737565791712541,5.216672229760784,18.467260280343343,25.735157413120454,58.54953939835374,0.005418044183709754,0.017217108216751858,0.062364387788855745,0.07832253195551944,0.19967360597982609
25.0,41.236475781879555,74.64141729607502,81.72704783237982,95.0565093836967,98.60353140277857,1.3710823053146697,4.8831022050530795,18.159595575248566,25.183631208364474,58.57831775731669,0.004829825663420455,0.016181643536577958,0.060150271243943794,0.07653897882788205,0.19465385117103784
26.0,40.79172398947887,74.99368596145877,81.99646341298205,95.41573093766486,98.74742598218023,1.2351592608509545,4.524700503034388,17.893751268985884,24.883035499795085,58.98931288890982,0.0044174475866314055,0.015219868516356629,0.05857134089558837,0.07431312556602401,0.19013126523457707
27.0,40.597674757094715,75.82266033905464,82.28545054743282,95.68201889313129,98.85326317217455,1.1316570548280487,4.263587330836688,17.60848615368808,24.04210375671874,59.28011799767797,0.00401175920178795,0.014541070248345875,0.05671231825540039,0.07310275459075143,0.18676084641378557
28.0,40.85763223495853,76.19773495975495,82.61832109004263,95.88930156021459,98.93939468299719,1.0395942374893818,4.063674971952265,17.278793946540304,23.671931195017464,59.01029836818002,0.0037491853182510305,0.013512436529771332,0.055126881259243296,0.070716247851471,0.18036452877387793
29.0,40.885899453027704,76.60319686367623,82.94065053599684,96.14720108241856,99.02744703564082,0.9594900963674817,3.806525894295352,16.95909156328357,23.190687637792497,58.94742635221407,0.003332630788311935,0.012857611169758507,0.05391084669780278,0.06838935410137086,0.1785692183749474
30.0,40.591880828030426,77.19238770887992,83.21765673890626,96.36925345527341,99.10777802147383,0.8764488665004594,3.5911903167664114,16.684478732328778,22.655502007713213,59.19919171310127,0.0030440908379251253,0.012034544556461366,0.05267154857917997,0.066981179134461,0.1788494578336976
31.0,40.578470265961016,77.43002896661096,83.5001631049574,96.61942030055121,99.17609413035832,0.8119087774283655,3.3287810408765384,16.404664861641105,22.395730549324224,59.28560380092175,0.0027041025385309767,0.011098002844616676,0.05130767783037309,0.06495651028572874,0.1782376204470833
32.0,40.50792305667905,77.99027551292116,83.82427704647569,96.80898534150957,99.24162412603916,0.7488404003137423,3.150549284117069,16.082765896980113,21.88344610780987,59.344687869644474,0.002583978282958086,0.010569158292134803,0.050482893342867326,0.06371688010483767,0.1742287584481265
33.0,39.99047413687159,78.68073239090603,84.06301300917917,96.98679323748543,99.29194673781465,0.6939986810458183,2.951716681142042,15.845888574943558,21.13303491417175,59.81699612723157,0.002323726069250616,0.009850598298547012,0.049659383973195866,0.06289815635331981,0.1734873344253845
34.0,39.926368830315106,79.03201707834488,84.30163153319589,97.16102679717311,99.35691846542807,0.6333474426091596,2.799295683721647,15.609033397996232,20.837508556337195,59.832606331925355,0.002124875797743418,0.009203782050058807,0.048685988597805124,0.06129510168088994,0.17207255116880274
35.0,40.56088986856347,79.4583559447537,84.58233815148846,97.32471580881594,99.41557501877816,0.5766924835593428,2.643358768149743,15.330257371249015,20.390296330497705,59.16212264881556,0.0020093906005163413,0.008646680417083465,0.048223121540028176,0.05963901530769694,0.1728484598693778
