t,S_p,L_p,I_p,S_v,I_v
0.0,97.0,1.0,2.0,3.0,4.0
1.0,5.433413858402225,67.91821644046877,29.664326279876178,2.5426644075189078,4.2989618630866095
2.0,7.766755985781944,57.918219988173725,39.452351553299025,1.522051493097055,3.9462750013582237
3.0,11.166060579314998,54.407359521839645,42.595257840971215,0.8360096450100859,3.372034800723026
4.0,16.299013507035898,52.93951079830012,43.43244380003557,0.4640096223066347,2.8251582196539995
5.0,21.73475507928808,51.96392843059407,43.473469169634214,0.2373413376415344,2.093217176292134
6.0,28.555935957644785,51.25702970135058,43.190105750356906,0.1384999303152545,1.7374565266449018
7.0,34.69136785533901,50.59626716891803,42.77641837610222,0.0805742942393278,1.3390692836312004
8.0,41.81565384550151,50.20515646960586,42.19896996438411,0.056410200932209276,1.177498830410387
9.0,52.28115923105696,50.24805400675464,42.251891576050795,0.039190428365605955,0.9767892384626926
10.0,192.96681987053753,147.12067609645885,42.79974658644847,0.18352160502842943,2.8588986332324353
11.0,506.1953082255115,1162.505645366653,124.47616359497195,1.2215458314375662,13.645921066123742
12.0,254679.16545114928,2.001110450379656e8,1.6537380466491576e7,388346.3459799952,4.1033320657124287e6
13.0,1.6351120551132623e7,2.3297206886149532e10,1.5865540269453726e9,2.650703619900382e6,3.1791506899722513e7
14.0,1.7974613065488064e10,2.1508187528092032e11,1.5664856444221598e10,9.744628691879234e7,1.1983831822627544e9
15.0,9.888384255081285e10,1.030695586603351e12,7.949337570130247e10,2.2623938048676422e8,2.457364579692463e9
16.0,1.5214545906331863e11,2.3699372599103096e12,1.5023803018531866e11,5.241699527107349e8,6.069627587330631e9
17.0,3.734079082729224e11,4.314790512311019e12,2.7248558388066513e11,1.199273905337546e9,1.428685623048466e10
18.0,1.5503875771589883e12,8.285476337418979e12,5.367312459105093e11,1.4588467224796503e10,1.4800000439308685e11
19.0,3.353900496361721e12,9.579502236437205e12,7.184931430810997e11,1.8625479856581924e10,2.6585071907914816e11
20.0,4.575739427027141e12,1.1613931702122654e13,8.841703962425491e11,3.2848826797707935e10,3.801308387246906e11
21.0,5.54443466223123e12,1.278720063064449e13,9.6715278072782e11,3.7611495328704926e10,4.3932515205229254e11
22.0,1.079061098583034e13,1.4350107269115396e13,1.0854569885266708e12,4.078324715895413e10,4.7968073888591064e11
23.0,1.1753749551774588e13,1.8288259843782473e13,1.2862766187115417e12,4.5771916266551216e10,5.214623007135916e11
24.0,2.3881703412517492e13,1.981762680309792e13,1.393209299210188e12,6.8098415211661606e10,6.410326454410696e11
25.0,2.600579540125395e13,2.2394854128612996e13,1.5001419797097842e12,7.21533778274401e10,6.886142636762712e11
26.0,2.8129887389989758e13,2.6828411708145508e13,1.6905868916863345e12,7.586852166501631e10,7.36195881911472e11
27.0,3.020908305469548e13,3.126196928767897e13,1.9704682284271392e12,7.958366550259242e10,7.837775001466804e11
28.0,3.2219700046258516e13,3.5695526867210484e13,2.2503495651669937e12,8.329880934028748e10,8.31359118381882e11
29.0,4.7499118384262195e13,4.01290844467439e13,2.5302309019077983e12,8.701395317798253e10,8.789407366170829e11
30.0,5.0233932378881836e13,4.7840676206728266e13,2.9421341624962827e12,9.07290970154401e10,9.265223548522837e11
31.0,5.256349933834395e13,5.3773093684601625e13,3.6955299883331064e12,9.444424085289746e10,9.741039730874987e11
32.0,5.97354220652308e13,8.673095433954027e13,5.944426254638962e12,9.815938469082982e10,1.0216855913226854e12
33.0,6.4057490708815555e13,9.254125562769434e13,6.343076311411031e12,1.0187452852828738e11,1.0692672095579011e12
34.0,6.807499548282069e13,9.835155691584844e13,6.741726368243899e12,1.0558967236598244e11,1.1168488277931028e12
35.0,7.631279228796703e13,1.0367319879878778e14,7.140376425076769e12,1.0930481620344e11,1.164430446028303e12
36.0,8.091128648125656e13,1.0765265630402433e14,7.539026481788236e12,1.1301996004113486e11,1.212012064263503e12
37.0,8.399218697846733e13,1.1163211380926089e14,7.854881118057381e12,1.1673510387859242e11,1.259593682498706e12
38.0,8.707308747567811e13,1.1561157131449784e14,8.135240247737357e12,1.2045024771628748e11,1.3071591865297812e12
39.0,9.30343149367749e13,1.218216182048259e14,8.415599377538934e12,1.2416539155398235e11,1.353162122223424e12
40.0,9.938587748582634e13,1.416728525321144e14,8.69595850734051e12,1.278805353914397e11,1.399165057917036e12
41.0,1.0447201868679664e14,1.6152408685940672e14,8.974811178361688e12,1.3159567922913457e11,1.4451679936106787e12
42.0,1.083327906091512e14,1.8137532118669525e14,9.625581500460484e12,1.3531082306682982e11,1.4911709293042903e12
43.0,1.1644794207521928e14,2.0122655551398416e14,1.0636627538777898e13,1.3902596690428717e11,1.537173864997933e12
44.0,1.253927123597211e14,2.2107778984126506e14,1.1647673577099113e13,1.4274111074198242e11,1.5831768006915752e12
45.0,1.3178470399459639e14,2.409290241685536e14,1.2658719615424527e13,1.464562545794398e11,1.6291797363851877e12
46.0,1.3672329243563933e14,2.607802584958421e14,1.3669765653745742e13,1.5017139841713467e11,1.6751826720788298e12
47.0,1.4135221698853984e14,2.8063149282313062e14,1.4680811692066957e13,1.5388654225482953e11,1.7211856077724421e12
48.0,1.4598114154145575e14,3.0048272715041156e14,1.5691857730388572e13,1.5760168609252478e11,1.7671885434660845e12
49.0,1.5061006609437125e14,3.2033396147770044e14,1.6702903768702188e13,1.7056397632661267e11,1.8131914791596975e12
50.0,1.5523899064727178e14,3.4018519580498894e14,1.7713949807023e13,1.895617639478983e11,1.8591944148533687e12
