t,S_p,L_p,I_p,S_v,I_v
0.0,97.0,1.0,2.0,3.0,4.0
1.0,2.4561627319176242,65.42799787503512,29.089475396041284,1.095314924955736,1.8627813171105312
2.0,2.683884417958911,54.00474479064643,38.041518047757584,0.4645407272341541,1.218314729789602
3.0,3.1154938482326635,48.61960885338377,40.134694500827365,0.1991813650314221,0.8010153244155219
4.0,3.668848775459646,44.22528199567533,39.48116843683101,0.08740423942608085,0.5161565585413127
5.0,4.806078366767719,40.250413044792694,37.691903699591805,0.042390252060346405,0.34080115887585183
6.0,5.63050250022012,36.48154968384621,35.613450146693786,0.0240530536974534,0.2254964953054534
7.0,6.810822723597468,32.580631695792896,32.49024923950561,0.01664230974523336,0.16730403962260626
8.0,7.1038388803392385,28.20937995533697,29.45830081801146,0.012285406696125772,0.11537409661581059
9.0,7.280397746615465,21.40645192425606,26.5839173357548,-0.10111975356791758,-1.1004883728871506
10.0,-84.67687942490191,-108.865098504124,17.36590229492795,-0.4562412379452828,-6.961484811952127
11.0,-1172.817014669995,-404.10201056183064,-0.4698942174312779,-4.8497457518273475,-40.0440319794181
12.0,-2.1664832550460482e8,-237489.00751344045,-17090.157937758762,-7480.455961441229,-91126.84948536113
13.0,-2.489449773489502e10,-1.5439854635100456e7,-911516.5201547957,-3.4794840663462e6,-4.100396415484323e7
14.0,-2.286495071519359e11,-1.6827833828398863e10,-1.0060491427279294e9,-1.4388334422694457e8,-1.6938286909017315e9
15.0,-1.1230899292493652e12,-9.23578620170295e10,-6.379584589173828e9,-3.8149500617949545e8,-3.714023849569659e9
16.0,-2.520175289995625e12,-1.4119603270861462e11,-1.0910766650868536e10,-9.603363874847655e8,-7.669297377793001e9
17.0,-4.587276096092245e12,-3.503152485207396e11,-2.4283184284124992e10,-2.3110421684305615e9,-2.1322604665451504e10
18.0,-8.79940622364596e12,-1.4761436553975117e12,-7.424392166155302e10,-4.888393746372363e9,-5.058942747664474e10
19.0,-1.0307175568580098e13,-3.1168003270788145e12,-2.2137232795984995e11,-5.617006165344093e9,-7.83787719699904e10
