t,S_p,L_p,I_p,S_v,I_v
0.0,97.0,1.0,2.0,3.0,4.0
1.0,3.735406856262023,66.84851451498996,29.416078628747936,1.7418725501133632,2.953848219554501
2.0,4.944864716550739,56.206531135947564,38.84860414750168,0.894805772956845,2.327908058038341
3.0,-1.3481472540521248e11,1.2726995393103348e11,7.544771574174602e9,-1.8964189650844321e9,-6.144963023628801e9
4.0,-6.717055370532262e11,6.334833163598306e11,3.8222220793366684e10,-1.9663765402580254e10,-7.989184211496346e10
5.0,-1.3314870396643547e12,1.2550813804448113e12,7.640565931951056e10,-3.7091859064081764e10,-1.4638100288183102e11
6.0,-2.1007357861032903e12,1.9788723177683633e12,1.218634684349031e11,-5.510604097226983e10,-2.1747018335926456e11
7.0,-2.6922426087025063e12,2.5386091623131616e12,1.5363344648950534e11,-7.433829506074359e10,-3.0274912055762384e11
8.0,-3.0424369889281523e12,2.8741374397945586e12,1.6829954923341388e11,-9.367316196184126e10,-3.8930315686459937e11
9.0,-3.195029573211585e12,3.026025303060606e12,1.690042702507512e11,-1.1304192034759793e11,-4.7586735547345966e11
10.0,-3.2067868901482695e12,3.0476608785870845e12,1.5912601166121414e11,-1.3205339820757219e11,-5.549684633419438e11
11.0,-3.599131991374771e12,3.4222967417846733e12,1.7683524968976822e11,-1.5076358598369144e11,-6.308267334725023e11
12.0,-4.498210029312028e12,4.261960783598312e12,2.3624924581336365e11,-1.6948050197888406e11,-7.073046052525449e11
13.0,-6.259911013007025e12,5.900755360079054e12,3.591556530274998e11,-1.888460379796167e11,-7.91654241662119e11
14.0,-7.621679460170952e12,7.165641890626448e12,4.560375696436735e11,-2.0823040637964847e11,-8.766624022959266e11
15.0,-8.687067973271144e12,8.152555967887793e12,5.345120054823571e11,-2.2737465162332492e11,-9.605656039735348e11
16.0,-9.989759127054258e12,9.359288896109383e12,6.304702310449054e11,-2.4625135891432553e11,-1.0424359099457075e12
17.0,-1.139822834220287e13,1.0668360029799984e13,7.298683125025577e11,-2.649899153055956e11,-1.122918820151878e12
18.0,-1.281477447301323e13,1.1989261795547717e13,8.255126775643969e11,-2.8372359503520056e11,-1.2035247409023975e12
19.0,-1.4014606092672086e13,1.3107709916924336e13,9.068961758475869e11,-3.0245365804922504e11,-1.2844282031441697e12
20.0,-1.503781316567534e13,1.4063527967854633e13,9.742851979202755e11,-3.211051959503068e11,-1.3646497099279111e12
21.0,-1.607614471496498e13,1.5033614369574207e13,1.042530345490158e12,-3.397613385301145e11,-1.4448947932248816e12
