t,S_p,L_p,I_p,S_v,I_v
0.0,97.0,1.0,2.0,3.0,4.0
1.0,3.0548372591833033,66.38721827013467,29.317263931697003,1.4240720003248173,2.4145607755736473
2.0,3.7702259866011207,55.452764648114844,38.596749764871376,0.6481399669054242,1.6903275119772558
3.0,4.771523932760897,50.78030048797418,41.0433018104509,0.29650455413351395,1.1991079084937235
4.0,6.3154338110067965,47.97271938725322,41.0361862296055,0.1365185798242378,0.8156813987089524
5.0,8.142147652787862,45.268759657705594,40.07718869215614,0.06927482790201579,0.5805154625481571
6.0,10.256368443930974,42.395632679643086,38.49565506906621,0.03851849903198097,0.4043826327134519
7.0,13.379567578886345,39.15764868905806,36.38584035883024,0.024513384124075555,0.28912179778194125
8.0,16.558779528026335,35.44941286334546,34.14898377146694,0.018088450343382485,0.21450309826231118
9.0,19.74806571954068,32.96417505533803,31.85225121551775,0.01608543249918676,0.1821974298743692
10.0,23.247789100472126,31.438247641202345,29.69927703760733,0.014976650989383255,0.14860770611982432
11.0,25.678195754089764,28.768267338748476,27.71083208569536,0.013468523229736207,0.12921477679646692
12.0,28.068422929854762,27.147697628613052,26.041570261053923,0.01319765713472095,0.11573022940159068
13.0,28.471978128715854,27.283992388346757,24.96911263635416,0.012860612634319165,0.10599683982119429
14.0,28.79034184346345,24.71611848814735,23.40678597324873,0.012155467642667709,0.09253415323539405
15.0,27.64104462349838,22.661949487016997,22.265583398206076,0.010924817775172372,0.07767905719038266
16.0,-35.33571576708755,6.96125918994403,20.515841624642345,-0.05791619277833293,-0.48050864349585165
17.0,-138.13298446565477,-103.81061776963634,14.722516138017454,-0.16222416363328573,-1.4839355927405151
18.0,-233.9867241537304,-251.47537771944735,6.361042644964982,-0.2618929081151089,-2.400390828129165
19.0,-480.90398185128106,-472.75710294571763,-9.958295453576284,-0.4136121162024722,-3.840958684837915
20.0,-648.3732916935624,-656.4354699056275,-29.059207077072642,-0.5506765943792633,-4.754990686063422
21.0,-942.7423520547163,-820.4178181089301,-46.47633655977552,-0.6697069778954177,-6.065233595298963
22.0,-1163.8132511455624,-1114.412727765899,-63.875693532812875,-0.9352368698928224,-8.529337869040688
23.0,-1511.0803469966195,-1376.8174879036887,-78.83662362169707,-1.1140661656941404,-10.06088663351214
24.0,-1747.428342273226,-1591.2921238477065,-95.066105838574,-1.288213427719299,-11.536766311805877
25.0,-1962.949972396309,-1850.8617067502637,-118.67367515719525,-1.5348882158783574,-13.58081247049347
26.0,-2433.4925825994724,-2106.386037703931,-144.58492214816215,-1.9753750467084608,-17.41997866861948
27.0,-2722.4523959884536,-2321.9126691444544,-161.4658277168637,-2.2602041024049697,-19.71691902488743
28.0,-2945.3186965149653,-2642.5953952766868,-185.227979059855,-2.43402422529428,-21.487880870986714
29.0,-3294.1997929845165,-3000.4912446857415,-213.49322218117595,-2.719631019971132,-25.110321462485047
30.0,-3688.451235134089,-3267.8921441917773,-228.41247128038958,-2.9650266982526077,-28.273512668292767
31.0,-3888.6091790365826,-3521.91560785778,-247.32889895912376,-3.3649943307094325,-30.08658117189998
32.0,-4156.248410459317,-3765.189114323788,-265.84827661882446,-3.624108635496782,-32.20729659031184
33.0,-4410.818394471047,-3949.0453134412965,-282.2163112683047,-3.8438366648996904,-33.90069444668353
34.0,-4787.656943658076,-4190.834539518575,-306.2315605466865,-4.153929869648017,-38.382539327478185
35.0,-5040.069091069861,-4387.658721558546,-322.77060458788765,-4.450997408133539,-40.34140455859949
36.0,-5286.638494521292,-4635.701892114856,-343.9745068627235,-4.720497551755372,-42.19345598890254
37.0,-5530.970138876379,-4837.080974839948,-361.11971016513417,-4.958103513235436,-44.04550741920582
38.0,-5838.1254048743285,-5143.804814404808,-383.1230954444618,-5.270975213066748,-48.465884646443556
39.0,-6136.361285840307,-5542.442915694133,-416.404276799527,-5.507086307682982,-50.567530297373196
40.0,-6493.293972757383,-5939.001380863352,-446.6032860727573,-5.764876276170355,-53.04998275650564
41.0,-6751.443279916013,-6242.605453093405,-467.0017678150616,-6.062746162888722,-54.769190935286815
42.0,-7029.42047398939,-6449.9270807855355,-485.7753362455114,-6.368657061907037,-56.48839911406526
43.0,-7389.831603687198,-6767.216025447269,-511.4841018564766,-6.578123237599556,-58.74071699493521
44.0,-7714.246063656989,-6990.347343285015,-528.6309954024618,-6.839504625700222,-61.06856918608639
45.0,-8032.782858474879,-7268.174138132774,-545.7778889485053,-7.04236261527528,-63.07841458221935
46.0,-8314.161186101672,-7547.492555947392,-564.9510081880289,-7.244079411216944,-65.08825997835368
47.0,-8602.439622423844,-7801.097577269538,-586.1836358628207,-7.603071057097566,-69.09072244224723
48.0,-8851.844209997449,-8040.704444781557,-608.2950991464895,-7.837932243003024,-71.34745235246419
49.0,-9130.030803498812,-8402.584884501004,-631.432749879823,-8.072793428908767,-73.60418226267984
50.0,-9375.693506540032,-8748.73163940938,-658.2281083993148,-8.307654614814282,-75.8396686734718
