t,S_p,I_p,I_v
0.0,97.0,2.0,4.0
1.0,3.0831820730146653,29.322879824546597,2.45904497809228
2.0,3.71436927704467,38.636890774270654,1.7184961919364574
3.0,4.7008343935684165,41.09190332473005,1.2022178906687795
4.0,6.14312806794551,41.05565659901998,0.8210881920139261
5.0,8.090770481304615,40.06081284042425,0.5801948280394262
6.0,10.713743379413891,38.333806659361116,0.41342315995405654
7.0,13.68467516326529,36.41780185479146,0.30740308317476583
8.0,17.30785140678852,34.27107985310156,0.22967741159814467
9.0,20.466737749719385,32.07351028615135,0.1872045717993795
10.0,24.67683531749779,29.922678142313178,0.15968378841807157
11.0,27.721627187134217,28.185364512708286,0.14081267559673263
12.0,31.57716716953495,26.764211677551625,0.12724620081483967
13.0,33.99674160299967,25.56616437205917,0.1217814804481682
14.0,36.43253231159285,24.627159536641646,0.11445232645640732
15.0,38.12619422075451,24.01028227815153,0.11114183106410333
16.0,39.491188079536784,23.47026082487309,0.1077648907263287
17.0,40.36667273966359,23.113000963507815,0.10732296663711956
18.0,40.95328477086239,22.991986008983346,0.10644807037193312
19.0,41.60669683636743,22.80185573386626,0.10377507347099699
20.0,41.72194232298226,22.534010068995954,0.10310172623313603
21.0,41.94277150229351,22.411349929270074,0.10237128355149396
22.0,41.9907711627156,22.434577734866934,0.10173488226054667
23.0,42.093112792490366,22.28695093461745,0.10009518007149444
24.0,41.93021040052926,22.076099467998173,0.10086140210300937
25.0,42.02005319532943,22.19678104290585,0.10162576251477043
26.0,42.24086652849208,22.286910275424187,0.09929119567559902
27.0,41.95855110075463,22.1535632355978,0.10045307003451491
28.0,42.20563088727609,22.109705194746365,0.09940954702738332
29.0,42.04813631755201,21.98073074582898,0.10125088865610486
30.0,42.284097131874276,22.08898486497917,0.10140227302471992
31.0,41.85429406806871,22.14542178825289,0.10255706922553498
32.0,41.7734625041819,21.988244957478358,0.10250135931572911
33.0,41.94984966474716,22.199145591082928,0.10158580523383684
34.0,41.80289348192396,22.092143370230232,0.10113768557703103
35.0,42.04489265524522,22.175301132127245,0.1006430606486478
36.0,42.027340818949945,22.1542345657442,0.10100618656300403
37.0,42.188211592410305,22.118938747285288,0.09988705344586771
38.0,42.056295876273666,22.039005609979558,0.10060718753218928
39.0,42.43381891599718,22.04043499986752,0.0993647951676384
40.0,42.34363373128184,22.14264390478133,0.09994823568983643
41.0,42.15990877934486,21.950155562456242,0.09929753456909989
42.0,42.183442149741246,21.923607834783272,0.09861024373779945
43.0,42.37157204883294,21.987903741960967,0.10134303459100767
44.0,42.00844667095069,22.03178404929514,0.10170641466609695
45.0,41.92832819671651,22.12411635323655,0.10222348979783175
46.0,42.09392673100358,22.111433744122827,0.10175597100273107
47.0,41.89223793059667,22.20681237040874,0.10085093434891278
48.0,42.116311503156425,22.186092974656127,0.1002630143149286
49.0,42.14532626299073,22.069411704617522,0.10140679482579355
50.0,42.205522102139355,22.143894260483627,0.10121324805210406
