t,Q05_S_p,Q25_S_p,Mean_S_p,Q75_S_p,Q95_S_p,Q05_I_p,Q25_I_p,Mean_I_p,Q75_I_p,Q95_I_p,Q05_I_v,Q25_I_v,Mean_I_v,Q75_I_v,Q95_I_v
0.0,97.0,97.0,97.0,97.0,97.0,2.0,2.0,2.0,2.0,2.0,4.0,4.0,4.0,4.0,4.0
1.0,2.4472441750588865,3.0678297751256736,3.6939176428580787,4.213601948013839,5.279867691998526,29.116930800655485,29.316596054034285,29.42052696311006,29.539663468903186,29.66716182458079,1.89996682535857,2.4370651641354217,2.977081336732875,3.4299890139554323,4.364677227871467
2.0,2.7062821721646495,3.7612653404005325,4.90971123755109,5.808993812510721,7.844278043377967,38.097271391584215,38.615925247732626,38.859354315847476,39.156553470909586,39.43789027739614,1.2233807281130504,1.7137308547895693,2.318807772941079,2.7629920496870954,3.901935524529885
3.0,3.246959709102612,4.792292727578823,6.582873064339932,7.973576447972527,11.237050620589647,40.13909185366888,41.07519866424843,41.508346804677785,42.045434761914414,42.52325865781035,0.8053828404775698,1.2107268757891512,1.7566564404750453,2.123900475801311,3.2296865166459057
4.0,3.964522682443113,6.248289240757403,8.882489804714943,10.92300677538276,15.7056237466267,39.58892415187681,41.09962479500635,41.75839974655967,42.596881873196295,43.329804839910416,0.527351378496457,0.8362770198171133,1.30168566544821,1.5912048089952855,2.5914779921235587
5.0,5.091736991146165,8.140747656579974,11.772352598762007,14.609043158612746,20.845252501036153,37.93811892150597,40.07439610388842,41.030233776738235,42.245117778131984,43.29622754636147,0.35815403952760083,0.5866404984229894,0.9577740019984551,1.178460345173089,1.990884666249026
6.0,6.642230462035659,10.667688372119681,15.276202577052478,19.03460447870167,26.781487738118727,35.68964700169353,38.493162681106554,39.7968511916248,41.42274892004778,42.87338759238542,0.2611482043071681,0.419085366790299,0.7058728755144336,0.8696618458374343,1.5134806361933932
7.0,8.399529530572922,13.76764085722686,19.227275078442034,23.87313256577059,32.66805620485817,33.19755386682556,36.55935560414644,38.24242807369104,40.28761832350295,42.220996360058166,0.19271185907098787,0.30825172033573844,0.5261016075475907,0.6388581340665069,1.1389216423305792
8.0,10.720046309750487,17.315112062784262,23.424402033076603,29.002111097276394,38.08005441130223,30.68418362265021,34.3677859381567,36.472338733704696,38.882499224647205,41.327968721856976,0.15350921306842738,0.2370234727387592,0.4013575020009065,0.482618154857738,0.8785008941509973
9.0,13.289551033144752,21.0548285087035,27.498165353314164,33.557802535723624,42.562794841080574,28.333079886962473,32.17318145774613,34.627316789119405,37.25261884320694,40.23743738335827,0.12796106006187297,0.1893332574472388,0.3155078652273658,0.377258868684789,0.6769080649470695
10.0,16.311221108893033,24.71570468077475,31.27690351767086,37.76212469342414,46.332505671643474,26.353209855208412,30.13915594370068,32.81931442442227,35.610723784933455,39.01364930853117,0.11297300016838353,0.16108098016001166,0.2573745736973421,0.30447636307499776,0.5325759720507567
11.0,19.366153205078874,28.553080845992525,34.66564337253887,41.06932591548449,49.35160312796923,24.822186766353937,28.400849121898077,31.1505062974439,33.865585839060195,37.6685039016794,0.10310494150820568,0.14242659853188422,0.21621425391212806,0.2524890927623929,0.42114441869398683
12.0,22.578156256901703,31.68358444553938,37.52991881420157,43.80241138732491,51.314459081609705,23.471438454842318,26.924485741622906,29.661589735550688,32.309009086774516,36.21930332819533,0.09432494585487043,0.12967654701902825,0.18785729229692832,0.21783436790303484,0.3501249088890911
13.0,25.413039808853274,34.29584024207623,39.97039051459482,46.048185905428056,53.18973102072317,22.55999394226444,25.698895315111375,28.36413661436999,30.867695746475132,34.74840334550987,0.0903270110687632,0.12038859459426618,0.16910616787666136,0.19557079070223343,0.3043009279014838
14.0,27.77166375636975,36.564180399815,41.75492436044073,47.420013727604555,54.70756055222044,21.761794232153225,24.78930042648678,27.31757966425016,29.654227819335052,33.58026488313055,0.08678754209378987,0.11463198127418983,0.15591240885654492,0.18051666239045852,0.2705742450078879
15.0,29.80127110361395,38.1226830202304,43.27848155286324,48.767504758240605,55.52500183232636,21.16420947193808,24.075677470867014,26.473668905696236,28.65097829976944,32.412991861322276,0.0836547615281661,0.10968254370936666,0.14616709316217416,0.1686888526148633,0.24582473754734688
16.0,31.449037417575244,39.29710888070152,44.35994854287043,49.7000318797195,56.38570833510008,20.640453304649817,23.554663395162443,25.807411441518937,27.955699571640196,31.433956413356054,0.08211377644757938,0.10727731285321956,0.1404086508711571,0.16185629064121154,0.2306060026157645
17.0,32.715587027245626,40.22688633222008,45.15476667179907,50.387777772567375,57.0016997750494,20.337977686700718,23.073810945483405,25.306741771997075,27.392039861061136,30.675177408093717,0.08179382127678769,0.10499798466398881,0.136572626948057,0.15784475199798573,0.2209051414465705
18.0,33.48884181973557,40.74176147553502,45.71324618869514,50.898490291458586,57.24495412401859,20.049484995776105,22.750900433873284,24.95005348569257,26.992490696133586,30.14921016283337,0.08004203252414696,0.10358265411263816,0.13371380442995695,0.15453379148843815,0.21450784034051906
