t,Q05_S_p,Q25_S_p,Mean_S_p,Q75_S_p,Q95_S_p,Q05_I_p,Q25_I_p,Mean_I_p,Q75_I_p,Q95_I_p,Q05_I_v,Q25_I_v,Mean_I_v,Q75_I_v,Q95_I_v
0.0,70.0,70.0,70.0,70.0,70.0,10.0,10.0,10.0,10.0,10.0,4.0,4.0,4.0,4.0,4.0
1.0,14.312374695012982,17.318831928465517,19.87651040237734,22.230085495111336,26.186962919510147,26.83842460865364,27.806901558999762,28.411037523916338,29.05624070570385,29.835469147042307,1.4805865056154517,1.8903792245623263,2.3164077385356054,2.6610064395540047,3.407197319544983
2.0,17.453518401468596,21.846867575805593,25.46848234479545,28.768151330758716,34.36271701193527,34.13743880628324,35.92331489221279,37.026296914230365,38.21312830943011,39.64833462666613,0.7298521761847073,1.0278678199589777,1.3810717107159332,1.6391419074868565,2.339816068682071
3.0,22.703966670111352,28.763664591387876,33.49863862343537,38.01248135321901,44.802620282689986,33.76078027485757,36.406307079100706,38.13465589588905,39.93871989960699,42.23649993344039,0.3848482238827087,0.5768304645350482,0.839052943039943,1.0122815308305997,1.538845553230115
4.0,28.926622632095395,37.1096217367408,42.277710467218995,47.71662149901621,55.24887371347998,30.11293725319954,33.47720560000556,35.77681006918754,38.073238963268686,41.3536641596836,0.22263554686938114,0.3423608692808007,0.5214804187282819,0.6340239146043027,1.0180544737295227
5.0,36.57371757629609,45.62263628176538,51.05161124643184,56.954471394759835,64.17070663058827,25.366763532183214,29.17690028627095,31.908038259010727,34.53965188189626,38.664757243637446,0.14044349089932182,0.21264227869776123,0.33341362166509425,0.40660884044345424,0.6640562508531153
6.0,44.79890428127747,54.01571255613624,59.18709285727534,65.062482986005,71.00552155027854,20.922234816686696,24.55006755373512,27.53791466633971,30.32846530151129,34.943459994082566,0.10227486531618145,0.14686894829261746,0.22399947649725213,0.2685247436763017,0.44627854793996913
7.0,52.627007975838474,61.68473134779244,66.09633888182594,71.39181202752916,76.53837777845231,17.036049275944666,20.305884980512598,23.308793680113833,25.99407828796109,30.773392321854686,0.08070740505537136,0.11118496711529037,0.16145320936497207,0.19109100540855356,0.3031940105929209
8.0,59.6787944465439,68.07776327426443,71.72776924630769,76.38004714028625,80.46267775258984,13.97897976301816,16.749633162324173,19.548181446290158,21.871862807860424,26.646625774694378,0.06939784859871403,0.09110082368477701,0.12585331048855639,0.14621597506847078,0.22169892277212574
9.0,65.806063710875,73.16020942724748,76.05671541842834,79.92237356038481,83.37610954778145,11.629250783086782,13.937676979090863,16.41735590229938,18.39082805708239,22.898130080088567,0.06347765985622902,0.08108267625808199,0.10598842218749789,0.12130705125976463,0.17391606359945885
10.0,70.9094536026502,76.75917428590888,79.26657103634304,82.52404467131791,85.43248069045903,9.914995738777984,11.848286749491772,13.932115023192026,15.56188486988211,19.498109299369993,0.060146031580070966,0.07546105542628238,0.0951482308490514,0.10866964513760617,0.14867985436792366
11.0,74.46782690873736,79.44751297471628,81.6192191853382,84.39350784947081,86.89111087773918,8.650879152260138,10.253223757494755,12.02831127428554,13.392539539716706,16.659314647574966,0.05786127084059922,0.07155125853636715,0.0886921714804567,0.10081845437741634,0.13388880044217943
12.0,76.94692339372327,81.32089671303358,83.23913758335146,85.67722744986686,87.96274789541704,7.742645397741676,9.114574057683855,10.626060809247758,11.809236520154265,14.515958926383536,0.05665089657858112,0.06977923236984644,0.08504003490346324,0.09642022889239557,0.12534478808069663
13.0,78.70700919693341,82.57822310398504,84.34746934381177,86.54358869319069,88.67939006382387,7.089289148670882,8.338148769837385,9.626308021043112,10.682828777306714,12.956898675158019,0.05616002307506656,0.06869579793403334,0.08325800763949315,0.09411741548882915,0.12139104896454961
14.0,79.7903320905828,83.40605323464217,85.08649279794044,87.16457410824302,89.12671488364931,6.630947886703374,7.768751484688705,8.926638316783094,9.885200434423343,11.88747750024443,0.055489114086752125,0.06812036388141401,0.08232346255272302,0.09324327804627959,0.11951126584869254
15.0,80.66421300280851,83.99374540905589,85.59677935087868,87.5637868763195,89.57468862108686,6.285241177727105,7.384156451399259,8.442290979086108,9.327263103541883,11.121977599983309,0.055048536719222114,0.06785080611028187,0.08182861367087522,0.09256147362598827,0.11813069501876096
16.0,80.95648495784774,84.38851311756875,85.93749999709165,87.87034559907198,89.75409460863656,6.079345095090476,7.118304334479942,8.11544724230206,8.973073240779115,10.641416598637564,0.05460737660689207,0.0671305419693403,0.08115869750189575,0.09223457820856348,0.11650749931656937
17.0,81.38182004606169,84.65214077929642,86.18927846530599,88.11494008515338,89.95124992814566,5.928233333599748,6.928639842395518,7.885591453144685,8.683059100015159,10.32426608255126,0.054644455418690285,0.06721029048700979,0.0807664545746947,0.09116659535622278,0.11647070182358982
18.0,81.62618064766028,84.85738055438944,86.3588770292207,88.19556323051339,90.10747071200987,5.827150322049442,6.779097398470724,7.724683937332498,8.503735302822454,10.157596407695193,0.05483233473740075,0.06683598909112547,0.080646231170437,0.09106105704444117,0.11699902563898859
19.0,81.62526675860846,84.91835833271429,86.44072027172476,88.32136506155852,90.20345963604757,5.707707965982846,6.700242638265129,7.622212127211647,8.381101891351438,9.979012414243552,0.054625510955793606,0.067038127745101,0.08072206642035488,0.09110374422143958,0.11651493002317848
20.0,81.69416084516824,84.92096345134522,86.52289282760336,88.43040654094253,90.31867353520684,5.645350664257103,6.631828433616898,7.5516123274416245,8.326010874609759,9.943726162517802,0.05465855712225161,0.0669784787123556,0.08082175802348057,0.09140598496848899,0.11704237952306115
21.0,81.69922294957834,85.0353151483825,86.56901876844246,88.47054454772977,90.32783933642149,5.614342063989275,6.566820675140145,7.503440174099327,8.287377321359372,9.874090840722332,0.05464931350725522,0.0670502837431651,0.08076880736507402,0.09115251294875312,0.11579979248541303
22.0,81.738286889466,85.04857048839104,86.5927494644243,88.48284750290644,90.37683800082063,5.558471375140689,6.538520665002071,7.476970806705851,8.254850360925214,9.903306639046555,0.054704182493283696,0.06669272792552522,0.08045648583041895,0.09129135423037568,0.11539887215114171
23.0,81.69461918767763,84.99425853093992,86.57418263903054,88.49566704132938,90.36523735246008,5.542132244344041,6.511261414481842,7.463513884911749,8.254570775156486,9.893514070614872,0.05443216762314561,0.06675209590777972,0.08058899942215358,0.0912230043722873,0.11635488713941787
24.0,81.76923677121502,85.02682659287339,86.61231164407121,88.52271199531789,90.39238929661218,5.542501709909601,6.494183143268594,7.452015194036333,8.251474493535401,9.890634866941774,0.05434557947799656,0.06690885146223109,0.08059126347811989,0.09114732675052853,0.11636346489307005
25.0,81.72326842330492,85.01297763163323,86.62549944092375,88.53968887962786,90.38191939557784,5.512777883233595,6.479983592968219,7.439461804293381,8.230874309620837,9.872755082427284,0.05469408250812403,0.06666382161086619,0.0804469643230171,0.09099746677195941,0.1160288903836166
26.0,81.87662407553462,85.14837022191725,86.6593574640874,88.54571561588524,90.38310671401656,5.527827792378631,6.484163483908447,7.423705801623088,8.215016699860643,9.833808642852311,0.054372734998186525,0.06668262343353887,0.08019530051622178,0.09049542582610208,0.1155944997620103
27.0,81.89609958157446,85.18905306737578,86.70458196880092,88.61154282520093,90.42378542303877,5.5106423348148335,6.469661130764806,7.408057878683392,8.200243776812794,9.791002855002775,0.053923616490448106,0.06638354867946188,0.07992466620382456,0.09022380962500641,0.11530538857124446
28.0,81.92222425148702,85.22326582850997,86.72750381529491,88.5828869107608,90.44965161150868,5.521422816285584,6.4514012489787635,7.388987861456262,8.16250632975593,9.776647975164568,0.05425980347368429,0.06680971310748414,0.08017517382603385,0.09058017263562262,0.11536974414282175
